INFRASA,Matricula,Peso,Aviación,Aerolinea,Vuelo,Tarjeta,Fecha,Fecha OK,Hora,Destino / Origen,Nombre Destino / Origen
30599,HP3010,7200,General,CARIBBEAN SUPPORT AND FLI,0.0,Salida,2020-01-04,2020-01-04,17:17:00,MPMG,MARCOS A. GELEBERT
30600,YV626T,10433,General,CARIBBEAN SUPPORT AND FLI,0.0,Salida,2020-01-05,2020-01-05,16:30:00,SVMI,GENERAL SIMON BOLIVAR
30601,HK5071,17894,Comercial,EFY,9057.0,Salida,2020-01-04,2020-01-04,14:55:00,SKMD,MEDELLIN
30602,HK5322,23000,Comercial,EFY,9185.0,Salida,2020-01-04,2020-01-04,15:57:00,SKBO,BOGOTA
30603,N766AV,79000,Comercial,AVA,8516.0,Salida,2020-01-04,2020-01-04,15:22:00,SKBO,BOGOTA
30604,N416AV,77000,Comercial,AVA,8504.0,Salida,2020-01-04,2020-01-04,16:15:00,SKBO,BOGOTA
30605,HK5341,11250,Comercial,EFY,9059.0,Salida,2020-01-04,2020-01-04,16:19:00,SKMD,MEDELLIN
30606,hp1565,50000,Comercial,RPB,684.0,Salida,2020-01-04,2020-01-04,18:44:00,MPTO,TOCUMEN
30607,N567AV,77000,Comercial,AVA,8518.0,Salida,2020-01-04,2020-01-04,19:22:00,SKBO,BOGOTA
30608,HK5307,73500,Comercial,FAST COLOMBIA S.A.S,8288.0,Salida,2020-01-04,2020-01-04,18:48:00,SKCG,CARTAGENA
30609,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-04,2020-01-04,19:02:00,SKCG,CARTAGENA
30610,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8071.0,Salida,2020-01-04,2020-01-04,19:33:00,SKSM,SANTA MARTA
30611,N416AV,77000,Comercial,AVA,9418.0,Salida,2020-01-04,2020-01-04,19:28:00,SKBO,BOGOTA
30612,CCCPE,70000,Comercial,ARE,4211.0,Salida,2020-01-04,2020-01-04,20:05:00,SKBO,BOGOTA
30613,HK5275,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-04,2020-01-04,20:16:00,SKCG,CARTAGENA
30614,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8135.0,Salida,2020-01-04,2020-01-04,20:42:00,SKBO,BOGOTA
30615,HK4955,23000,Comercial,AVA,8432.0,Salida,2020-01-04,2020-01-04,21:05:00,SKBO,BOGOTA
30616,HK5294,22800,Comercial,EFY,7751.0,Salida,2020-01-05,2020-01-05,11:00:00,SKBO,BOGOTA
30617,N664AV,77000,Comercial,AVA,9810.0,Salida,2020-01-04,2020-01-04,20:39:00,SKBO,BOGOTA
30618,N714JB,16240,General,CARIBBEAN SUPPORT AND FLI,2.0,Salida,2020-01-05,2020-01-05,3:58:00,SKRG,RIONEGRO
30619,HK5322,23000,Comercial,EFY,9187.0,Salida,2020-01-04,2020-01-04,22:14:00,SKBO,BOGOTA
30620,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-05,2020-01-05,10:12:00,SKMD,MEDELLIN
30621,HP1540,50000,Comercial,RPB,624.0,Salida,2020-01-05,2020-01-05,5:11:00,MPTO,TOCUMEN
30622,N939AV,77000,Comercial,AVA,9856.0,Salida,2020-01-05,2020-01-05,1:11:00,SKSP,SAN ANDRES
30623,N939AV,77000,Comercial,AVA,8510.0,Salida,2020-01-05,2020-01-05,6:15:00,SKBO,BOGOTA
30624,HK5274,73500,Comercial,FAST COLOMBIA S.A.S,8331.0,Salida,2020-01-05,2020-01-05,8:08:00,SKBO,BOGOTA
30625,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8327.0,Salida,2020-01-05,2020-01-05,8:13:00,SKBO,BOGOTA
30626,N939AV,77000,Comercial,AVA,8408.0,Salida,2020-01-05,2020-01-05,10:02:00,SKBO,BOGOTA
30627,HK5043,1814,General,AEROOCCIDENTE,2.0,Salida,2020-01-05,2020-01-05,10:30:00,SKCL,CALI
30628,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-05,2020-01-05,10:28:00,SKCG,CARTAGENA
30629,N398AV,77000,Comercial,AVA,8512.0,Salida,2020-01-05,2020-01-05,10:38:00,SKBO,BOGOTA
30630,HK4992,550,General,DOS DIEZ R SAS,2.0,Salida,2020-01-05,2020-01-05,13:30:00,SKMZ,MANIZALES
30631,N939AV,77000,Comercial,AVA,9806.0,Salida,2020-01-05,2020-01-05,12:55:00,SKBO,BOGOTA
30632,HK5237,18600,Comercial,EFY,9109.0,Salida,2020-01-05,2020-01-05,12:27:00,SKBO,BOGOTA
30633,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-05,2020-01-05,12:58:00,SKBO,BOGOTA
30634,HK5266,17894,Comercial,EFY,9055.0,Salida,2020-01-05,2020-01-05,13:35:00,SKMD,MEDELLIN
30635,N398AV,77000,Comercial,AVA,8516.0,Salida,2020-01-05,2020-01-05,14:00:00,SKBO,BOGOTA
30636,PNC0227,1633,Estatal,POLICIA,2.0,Salida,2020-01-05,2020-01-05,15:00:00,SKBO,BOGOTA
30637,N70020,73029,Comercial,AAL,1134.0,Salida,2020-01-05,2020-01-05,16:20:00,KMIA,MIAMI
30638,N939AV,77000,Comercial,AVA,8504.0,Salida,2020-01-05,2020-01-05,16:10:00,SKBO,BOGOTA
30639,hk5293,22800,Comercial,EFY,9185.0,Salida,2020-01-05,2020-01-05,16:00:00,SKBO,BOGOTA
30640,HK5310,18600,Comercial,EFY,9059.0,Salida,2020-01-05,2020-01-05,15:59:00,SKMD,MEDELLIN
30641,HK5266,17894,Comercial,EFY,9057.0,Salida,2020-01-05,2020-01-05,15:57:00,SKMD,MEDELLIN
30642,HP1569,50000,Comercial,RPB,684.0,Salida,2020-01-05,2020-01-05,18:50:00,MPTO,TOCUMEN
30643,N647AV,75500,Comercial,AVA,8518.0,Salida,2020-01-05,2020-01-05,19:03:00,SKBO,BOGOTA
30644,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-05,2020-01-05,19:06:00,SKCG,CARTAGENA
30645,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,6780.0,Salida,2020-01-05,2020-01-05,19:03:00,SKCG,CARTAGENA
30646,hk5293,22800,Comercial,EFY,9189.0,Salida,2020-01-05,2020-01-05,19:40:00,SKBO,BOGOTA
30647,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8039.0,Salida,2020-01-05,2020-01-05,19:41:00,SKSM,SANTA MARTA
30648,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-05,2020-01-05,20:12:00,SKCG,CARTAGENA
30649,N345AV,77000,Comercial,AVA,9810.0,Salida,2020-01-05,2020-01-05,20:17:00,SKBO,BOGOTA
30650,HK662,1236,General,LUIS CALDERON,0.0,Salida,2020-01-06,2020-01-06,18:09:00,SKCL,CALI
30651,PNC0248,19500,Estatal,POLICIA,0.0,Salida,2020-01-05,2020-01-05,18:35:00,SKBO,BOGOTA
30652,hk5323,23000,Comercial,AVA,8432.0,Salida,2020-01-05,2020-01-05,21:36:00,SKBO,BOGOTA
30653,CCBAQ,73500,Comercial,ARE,4211.0,Salida,2020-01-05,2020-01-05,22:35:00,SKBO,BOGOTA
30654,hk5293,22800,Comercial,EFY,7751.0,Salida,2020-01-06,2020-01-06,11:00:00,SKBO,BOGOTA
30655,HK5315,11250,Comercial,EFY,6925.0,Salida,2020-01-06,2020-01-06,5:48:00,SKCG,CARTAGENA
30656,HP1559,50000,Comercial,RPB,624.0,Salida,2020-01-06,2020-01-06,5:21:00,MPTO,TOCUMEN
30657,N345AV,77000,Comercial,AVA,8510.0,Salida,2020-01-06,2020-01-06,6:13:00,SKBO,BOGOTA
30658,N284AV,77000,Comercial,AVA,8538.0,Salida,2020-01-06,2020-01-06,7:25:00,SKBO,BOGOTA
30659,N345AV,77000,Comercial,AVA,8408.0,Salida,2020-01-06,2020-01-06,9:07:00,SKBO,BOGOTA
30660,HK3308,1633,General,DRAGADOS HIDRAULICOS S.A.,2.0,Salida,2020-01-06,2020-01-06,10:30:00,SKGY,GUAYMARAL
30661,HK5315,11250,Comercial,EFY,6927.0,Salida,2020-01-06,2020-01-06,10:13:00,SKMD,MEDELLIN
30662,N284AV,77000,Comercial,AVA,8512.0,Salida,2020-01-06,2020-01-06,10:40:00,SKBO,BOGOTA
30663,hk5320,73500,Comercial,FAST COLOMBIA S.A.S,8286.0,Salida,2020-01-06,2020-01-06,11:18:00,SKCG,CARTAGENA
30664,HK5275,73500,Comercial,FAST COLOMBIA S.A.S,6769.0,Salida,2020-01-06,2020-01-06,11:59:00,SKBO,BOGOTA
30665,HK5070,18600,Comercial,EFY,7778.0,Salida,2020-01-06,2020-01-06,13:19:00,SKVV,VILLAVICENCIO
30666,HK5292,22800,Comercial,EFY,9109.0,Salida,2020-01-06,2020-01-06,12:55:00,SKBO,BOGOTA
30667,N345AV,77000,Comercial,AVA,9806.0,Salida,2020-01-06,2020-01-06,12:13:00,SKBO,BOGOTA
30668,N284AV,77000,Comercial,AVA,8516.0,Salida,2020-01-06,2020-01-06,13:51:00,SKBO,BOGOTA
30669,HK5236,18600,Comercial,EFY,9057.0,Salida,2020-01-06,2020-01-06,13:54:00,SKMD,MEDELLIN
30670,N345AV,77000,Comercial,AVA,8504.0,Salida,2020-01-06,2020-01-06,15:47:00,SKBO,BOGOTA
30671,HK5236,18600,Comercial,EFY,9059.0,Salida,2020-01-06,2020-01-06,16:02:00,SKMD,MEDELLIN
30672,N741AV,75500,Comercial,AVA,8518.0,Salida,2020-01-06,2020-01-06,19:39:00,SKBO,BOGOTA
30673,hp1565,50000,Comercial,RPB,684.0,Salida,2020-01-06,2020-01-06,18:48:00,MPTO,TOCUMEN
30674,HK5236,18600,Comercial,EFY,7785.0,Salida,2020-01-06,2020-01-06,18:10:00,SKRG,RIONEGRO
30675,N345AV,77000,Comercial,AVA,9418.0,Salida,2020-01-06,2020-01-06,20:00:00,SKBO,BOGOTA
30676,hk5293,22800,Comercial,EFY,9189.0,Salida,2020-01-06,2020-01-06,19:40:00,SKBO,BOGOTA
30677,HK5315,11250,Comercial,EFY,6929.0,Salida,2020-01-06,2020-01-06,19:19:00,SKCG,CARTAGENA
30678,N671NG,4740,General,AUTOMOTORA DE OCCIDENTE S,0.0,Salida,2020-01-09,2020-01-09,10:10:00,SKGY,GUAYMARAL
30679,PNC0702,7000,Estatal,FRPN,2.0,Salida,2020-01-07,2020-01-07,11:47:00,SKMZ,MANIZALES
30680,N710RH,17272,General,AEROSUPPORT,2.0,Salida,2020-01-08,2020-01-08,17:51:00,KTPA,TAMPA
30681,hk5335,73500,Comercial,FAST COLOMBIA S.A.S,8039.0,Salida,2020-01-06,2020-01-06,19:38:00,SKSM,SANTA MARTA
30682,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8090.0,Salida,2020-01-06,2020-01-06,20:39:00,SKCG,CARTAGENA
30683,CCBFB,73500,Comercial,ARE,4211.0,Salida,2020-01-06,2020-01-06,20:20:00,SKBO,BOGOTA
30684,N284AV,77000,Comercial,AVA,9810.0,Salida,2020-01-06,2020-01-06,20:40:00,SKBO,BOGOTA
30685,HK5236,18600,Comercial,EFY,6971.0,Salida,2020-01-06,2020-01-06,20:45:00,SKBG,BUCARAMANGA
